Show,Text
Beatles Love,"Ive seen all the Cirque shows in Vegas. Sometimes they are so good I have to see them again. Beatles Love is a really cool show! So much going on at all times. So colorful. Acrobatics are great! Im not a huge Beatles fan and I have to admit I couldnt really follow the story line to the show. I think someone who has never heard of the Beatles (if they exist lol) could enjoy this show. I found a couple of the Cirques really have no plot but they are fabulous! I think families with kids would love this show too. 
* If youre Claustrophobic there is a spot in the show at the end that might not work for you. They completely cover the lower section of the audience with like a huge sheet. Between the lights and effects it looks like water covering the audience. Its really cool! (Photo 2). 
Would see this show again!"
Beatles Love,"A colossal disappointment. A bunch of of kids dancing to old Beatles songs. I didnt get it. For the amount of money per ticket I expected much more. Even the aerobics were meh. Ive seen a few Cirque shows and they all have amazing aerial moves. Until this one.

Im trying to come up with a few highlights and none come to mind. Maybe the big sheet that covers the audience. They went to a lot of effort with some extravagant sets. Unfortunately, no entertainment. 

All that aside. What was the point of this show? I truly believe it made no sense. No plot. Nothing accomplished. I was very close to asking for money back at the halfway point. 12/19"
Beatles Love,"What a great show featuring songs from The Beatles . The venue is located in The Mirage Hotel and it is huge. Its a Cirque Du Soleil show so theres a lot of acrobats and a lot going on at the same time.  

Definitely will recommend to all."
Beatles Love,My favorite Cirque show thus far. If you love the Beatles or even if you dont this show delivers. So much fun and nostalgia! Will definitely au to see it again!!!!
Beatles Love,"If you like the Beatles and you like Cirque, youll love the show. Ive seen this show 3 times and every time I am just very confused. I dont know enough about the Beatles history so throughout the performance I have no idea what is trying to be told through the music and dance. After the third time I was hoping id get more of it but this was the most confused yet. My friend knew slightly more than I did, and she loooved the show and tried explaining to me some of the parts I didnt get.

The acrobatics are amazing as always. This show contains a lot more dancing than other Cirque shows, I find a few of those bits to be uninteresting. I give it 4 stars because while this show is not for me, every person Ive gone with has totally loved it and left in awe. So i would tell anybody to give it a chance. All seats are good, small round venue. Id stay away from outer aisle seats as there are few obstructions."
Beatles Love,"I was pretty blanked out on what this show was about when I saw the billboards way back in 2007. I knew it was a Beatles show entitled Love and thought it was a tribute bands show. Fast forward 12 years later and after watching a few Cirque Du Soleil shows, we finally get to see this curiosity.

If you are a fan or familiar with the songs of John, Paul, George &amp; Ringo then go see this show. Music isnt live but is original Beatles music mixed smoothly into the shows choreography. In a nutshell it is a chronological Cirque interpretation of the groups journey.   What blew me away the most was the projections interacting with the performers and the blanketing of the audience under a sheet while a light show was going on top and actors operated under it.

As a tip its definitely better to enjoy this show from further seats as opposed to the ones nearest the stage."
Beatles Love,"This show is absolutely phenomenal. Total entertainment from start to finish. I came in skeptical because of a past experience with Cirque du Soleil KA, which put me to sleep periodically; and Im not a diehard Beatles fan. 

The set pieces, stage, performers, theatre I believe were all better here. KA felt more like a Broadway show, the performers were fantastic but the story was vague, with this show you dont need to know much about the Beatles to be able to follow the story of how their music played a role in history. Its energetic, engaging and worth every penny.

The seating chart is a little strange when buying tickets, but rest assured that this is a show with good views from 360 degrees. However some are better than others. If you are seating way down in the front you may end up missing something and instead become part of the experience. I was seated in Section 205 Row S Seats 14 &amp; 15, if youre buying tickets maybe dont buy tix 17 and up as view may be a bit obstructed."
Beatles Love,"Disclaimer: The performers are so talented; the acrobatics, dancers, rollerbladers...they are amazingly skilled. That being said, I didnt really like this show. 

I feel dumb saying this but, the music was way too loud (yes, I sound like Im 100 years old). I dont know why it needed to be so loud. So for those with hearing sensitivities, be aware that the music is very loud. 

They also chose the most obscure Beatles songs. At one point I turned to my husband and said, I feel like I need to be on acid to actually enjoy this show. Not a good feeling to have. 

Overall this show is just weird. I love musicals, plays &amp; the arts, but unfortunately I did not enjoy this show. It was a pretty dark and depressing kind of vibe; so if you are looking for a fun and upbeat show to see in Vegas; I wouldnt recommend this show. Please dont hunt me down and kill me for saying this!"
Beatles Love,"Do you love the Beatles? Do you love Cirque du Soleil?

If the answer to those questions is Yes, then definitely plan on attending this show. Overall the show is very good, and all the seats offer excellent views. Amazingly, the price for this show is quite low compared to the other shows and it was no where near sold out the night I was there. In contract the Michael Jackson show was much more expensive and was sold out the next night.

This show offers a very nice collection of the best Beatles songs, with some visual eye candy and some Cirque du Soleil acts. I had a very good time at this show and consider it a great bargain."
Beatles Love,"We love this show!!  We have seen it twice now and both times were great.  We recently watched with my sons (19 and 25) and they thourougly enjoyed the show as well.

All the acts, costumes, choreography...oh and did I mention all the great  Beatles music!!  The songs all have new meaning."
Beatles Love,"I have to preface this by disclaiming, I am a  HUGE Beatles fan!  That being said, the show was fantastic even if youre not a fan of the Fab 4.

If you ARE a Beatles fan, youll appreciate the allusions they make during songs like Blackbird (civil rights)  and faint one-liners from Shes Leaving Home at the end of one segment that really only heavy Beatles fans would catch. They subtly melded several songs like this that made me tear up.

The clever way theycomprised A Day in the Life with Johns face floating around during the majority of his parts of the song was superb.

The performers were excellent, their acrobatic and rollerskating/blading skills were impeccable.  The way they incorporated Ringo into Octopus Garden in a silly bubble was a perfect tribute to the drummer! And the blend of popular songs plus lesser-known to pop culture ones was a perfect combination. I cried several times during the show; not because it was sad, just because it was AMAZINGLY PERFECT.

I cant believe it took me this many years to finally see the performance, esp. living so close to NV but now it will be a yearly occurrence for us. I highly recommend it, even if youre not especially thrilled by acrobatics. Its just awe-inspiring!"
Beatles Love,"Wow! What a show! The finale to an amazing 20th anniversary week hiking the Utah National Parks. Chose the best seats at the point up front and, as Baby Boomers, we grew up on Beatles so one memory after another came to life before our eyes. It was wonderful! We won in Vegas because we didnt gamble a penny! Go see this amazing show!"
Beatles Love,"By far the best cirque weve ever watched, probably coz were familiar with the beatles songs. Performance was amazing and very entertaining. Didnt like the idea that we cant take pictures of the signage unless its official and the pictures they sell were just overpriced."
Beatles Love,"We were in the audience last night. Theres a scene where cast members are riding a boat, but unfortunately the wires broke off, causing the boat to hang upside down in the air. The staff had to turn the lights on and pull the cast out of the boat one by one. 
Its great that no one was hurt, and they offered refunds after they had the audience wait around for nearly 30 minutes. But it was very hard to see little kids trapped in the boat. They were hysterical and petrified when they were finally rescued. One guy had to hang upside down for over 10 minutes. I have an issue with them putting 6 year old kids in unsafe situations. Theres no reason kids should be on that boat. The audience cant even tell whos up there since its dark.

This is the last Cirque Du Soleil show Ill ever attend."
Beatles Love,"While at a work conference in sin city, I decided to see LOVE this one evening and it did not disappoint. If you are a fan of the Beatles, cirque du soleil or anything bright and memorizing, definitely see this show. Truth be told, I had waited years to see this show, so I was super excited and tested up when it began. I picked up my tickets at will call, and waited in line to enter the theatre. The line moved quickly and there were several ushers there to guide the way. Concessions were offered, so I grabbed a yummy strawberry fields cocktail and a popcorn and made my way to my seat. Greeted with more ushers that quickly directed me and I was ready for the show!

All cirque shows are visually entertaining, but paired with the Beatles music made it that much more magical! Since I bought my ticket day of, I was saddled with a ticket high up, however it proved to be ever in my favor when a scene came where they drapped a white cloth over the lower audience and projected an amazing, psychedelic experience with floating objects and theatrics! It was simply the coolest thing Ive seen! 

They played all the hits and had great story lines to match. I loved it so much, I plan to take my dad to the show in the near future."
Beatles Love,"We loved the show! Plenty for everyone to enjoy with interactive moments into the audience, dreamy sequences, funny moments, emotional moments,  romantic moments, etc. we went and had dinner for a bit after the show and came back to get our photos and look around the gift shop. Its open until 11 after the show so take your time elsewhere then come back!!"
Beatles Love,"If you like Beatles music, this show is a MUST! The performers are so extremely talented. Incredible is the best word I can use to describe the choreography. All movement is done to original Beatles music - the highlight of my trip to Las Vegas."
Beatles Love,"This was our second time seeing this show and its still amazing!

We had excellent seats and I like how the show characters move around the place so everyone gets an amazing experience. 

Highly recommend!"
Beatles Love,"This was amazing! The only negative was that they started 20+ minutes after the show time (930p). But the cast did a phenomenal job! It was a good mixture of music that everyone would know and some of the less popular songs. It was my moms second time seeing it and my first, and I absolutely would go back to watch again. 

You will want to sit further back for this show, as there is a bed sheet that covers most of the lower rows during one of the acts and youd miss out on whats going on on stage during that part. We ordered seats in the balcony, but the balcony was closed for this performance so we received seats in row R which were perfect."
Beatles Love,"Wow!  Even if your not a Beatles fan, youll know most every song and want to sing along! This show is super fun with great energy and costumes depicting the era. I recommend the large Strawberry fields show drink to complete this experience. Many people wondered if we missed a part of the show because we sat on the first row (due to lowering of the cover) Not at all, it was an awesome experience underneath!"
Beatles Love,"The Beatles LOVE show is one of many Cirque du Soleil in Las Vegas and it was amazing. It was exciting that I knew all the songs and how they made a story out of it. I found it clever that in almost every act, there were four guys to represent the Beatles- as kids, as clowns, as roller skaters, etc. (hopefully this isnt a spoiler)
The venue is pretty small, so I think that any seat you reserve will be fine."
Beatles Love,"Besides O, this is my next favorite Cirque show in Las Vegas. Of course everyone loves the music, but the visual effects in this show are phenomenal. Its a round theater and all the seats have a good enough view but I think section 205 is best. Theres a lot going on the stage from ceiling to floor all the time. The graphics are great as well. There are several aerial acts and roller skaters. I love the costumes in this show - theyre so inventive. Ive seen the show when it first opened, and then a few years later. This version is very different from the early shows. I think it is better."
Beatles Love,"I went to see the Beatles Love show and it was spectacular!!! The tickets are on the pricier side and there isnt much of a discount but it is well worth it!!  All the seating are great because the venue isnt big so everyone has an unobstructed view of the stage.

The acrobatics and dancing were amazing and so was the music and story line.  They did a great job interpreting the characters in the Beatles song without losing the Beatles identity. There were even authentic short dialogues and videos from the band incorporated into the show.   The mesmerizing scenery enhanced the show. I can see why it is popular and have lasted all these years.  The best part is that it is so up-lifting!!

Definitely a re-do when I come back to Vegas !!"
Beatles Love,What a surprise! Sat in the second row from the stage and had the best time ever. Weve been to a few different Cirque shows and wasnt sure what to expect from a musical type show. Really entertaining and fascinating to watch. We loved it
Beatles Love,"Outstanding show!  So much going on with costuming, of course the awesome music, aerialists, the stage constantly transforming, special effects, acrobatics.....its a sensory explosion!

We sat in section 201 row L and had great seats but actually the way the show is done on a constantly moving stage in the round with aerialists and set pieces coming down from the ceiling consistently....there really is no bad seats in that theater.

Yes.  Get the tickets, see the show.  You wont regret it."
Beatles Love,I was reluctant to watch this show but Im so glad I made it because it was simply superb! The performances was just so enthralling and everyone on stage was just amazing! A huge shoutout to all the artists and people behind the scenes. The Beatles Love was a magical ride and thoroughly entertaining.
Beatles Love,"Not only was the show simply amazing, but while I was there I had a small medical issue. The staff, Michelle and Bridget in particular, were so very kind and loving. They took care of my every need and went above and beyond. True angels on earth! Thanks to both of them from Jodi the Birthday Girl.

And, again, the show was fabulous! We sat up high and could see everything beautifully. There isnt a bad seat in the house.

Excellent!!"
Beatles Love,"Great performance! The Beatles LOVE show and the euphoric Beatles song played were reminiscent to what made me fell in love with their music. The show will give you different sense of emotions depending how open-minded you are. The allusions for their theme-dance-art blended with the songs that portrayed it through acrobatic performances was as entertaining at best. 

Thank you Cirque du Soleil - The Beatles LOVE for the amazing performance and show. It is truly Awe-inspiring. 

Reminds me why I love The Bealtes. 

John.C"
Beatles Love,"WHAT AN AMAZING SHOW!! All the classic Beatle songs! We knew that we had to see a Cirque du Soleil show when we were in a Vegas and decided on this one. It did not disappoint!  

My boyfriend doesnt listen to the Beatles but throughly enjoyed the show. We bought our tickets in advance and had pretty nice seats. Spent around ~$120 per ticket. 

Definitely would come back!"
Beatles Love,"Enjoyed the nostalgia of the Beatles music and loved the interpretation of the songs through the performances.

Nonetheless, this was the least favorite of the Cirque performances Ive seen so far (Ive seen Quidam, Luzia, Totem, and a couple others)

This was more about the dancing and the special effects vs the acrobatics. If thats what youre looking for, I dont recommend this show. 

There were skaters that were impressive, some trampoline work and a breakdancer that were my favorites. 

Maybe it was my mistake that I didnt look too far into the reviews, but I was really expecting the crazy stunts like the other Cirque shows Ive come to know and love. It missed the mark on the wow factor for me."
Beatles Love,"Another must see Cirque show.
Im not a big Beatles fan and I thoroughly enjoyed the show; so if you love the Beatles youll
Love the show !
Great props and production !
Interesting stage / set up.
Great use of space and theatrics.
Highly recommend along with Ka at MGM which is my personal favorite."
