"id","response","text"
1,"Cirque du Soleil - Beatles Love","colorful acrobatics story line exist lol completely cover lower section huge sheet water covering cool photo                                                                                                                  "
2,"Cirque du Soleil - Beatles Love","colossal disappointment kids dancing amazing aerial aerial moves extravagant sets                                                                                                                     "
3,"Cirque du Soleil - Beatles Love","featuring songs mirage hotel                                                                                                                        "
5,"Cirque du Soleil - Beatles Love","third time hoping id round venue outer aisle aisle seats                                                                                                                     "
6,"Cirque du Soleil - Beatles Love","pretty blanked tribute band fast forward john paul paul george george amp amp ringo music isn music mixed mixed smoothly projections interacting actors operated                                                                                                              "
7,"Cirque du Soleil - Beatles Love","absolutely phenomenal phenomenal total total entertainment past experience sleep periodically set pieces pieces stage stage performers performers theatre ka felt music played energetic engaging seating chart buying tickets rest assured buying tickets buy tix bit obstructed                                                                                                        "
8,"Cirque du Soleil - Beatles Love","acrobatics dancers dancers rollerbladers amazingly skilled feel dumb hearing sensitivities musicals plays plays amp pretty dark                                                                                                                  "
9,"Cirque du Soleil - Beatles Love","seats offer offer excellent excellent views views amazingly low compared michael jackson nice collection visual eye eye candy                                                                                                                 "
10,"Cirque du Soleil - Beatles Love","recently watched thourougly enjoyed acts costumes costumes choreography                                                                                                                      "
11,"Cirque du Soleil - Beatles Love","leaving home subtly melded rollerskating blading blading skills incorporated ringo silly bubble perfect tribute popular songs pop culture perfect combination amazingly perfect performance esp esp living yearly occurrence highly recommend awe inspiring                                                                                                          "
12,"Cirque du Soleil - Beatles Love","amazing NAth NAth anniversary anniversary week week hiking utah national national parks parks chose baby boomers                                                                                                                  "
13,"Cirque du Soleil - Beatles Love","songs performance entertaining didn                                                                                                                        "
14,"Cirque du Soleil - Beatles Love","wires broke hang upside offered refunds audience wait kids trapped finally rescued hang upside unsafe situations reason kids                                                                                                                 "
15,"Cirque du Soleil - Beatles Love","sin city super excited line moved moved quickly strawberry fields seat greeted quickly directed visually entertaining ticket day white cloth lower audience amazing psychedelic psychedelic experience floating objects story lines                                                                                                           "
16,"Cirque du Soleil - Beatles Love","interactive moments audience dreamy dreamy sequences sequences funny funny moments moments emotional emotional moments moments romantic romantic moments gift shop                                                                                                                "
17,"Cirque du Soleil - Beatles Love","extremely talented talented incredible las vegas                                                                                                                       "
18,"Cirque du Soleil - Beatles Love","second time excellent seats characters move amazing experience experience highly highly recommend                                                                                                                    "
19,"Cirque du Soleil - Beatles Love","time NAp phenomenal job popular songs moms second second time bed sheet lower rows received seats                                                                                                                  "
20,"Cirque du Soleil - Beatles Love","super fun costumes depicting strawberry fields row due awesome experience experience underneath                                                                                                                    "
21,"Cirque du Soleil - Beatles Love","las vegas roller skaters                                                                                                                        "
22,"Cirque du Soleil - Beatles Love","las vegas visual effects round theater aerial acts roller skaters                                                                                                                     "
23,"Cirque du Soleil - Beatles Love","venue isn unobstructed view story line job interpreting authentic short short dialogues band incorporated mesmerizing scenery scenery enhanced                                                                                                                 "
24,"Cirque du Soleil - Beatles Love","surprise sat second row musical type                                                                                                                       "
25,"Cirque du Soleil - Beatles Love","awesome music music aerialists stage constantly constantly transforming transforming special special effects effects acrobatics sensory explosion constantly moving moving stage set pieces ceiling consistently bad seats                                                                                                             "
26,"Cirque du Soleil - Beatles Love","simply superb huge shoutout magical ride                                                                                                                       "
27,"Cirque du Soleil - Beatles Love","simply amazing medical issue staff michelle true angels birthday girl bad seat house excellent                                                                                                                   "
28,"Cirque du Soleil - Beatles Love","song played emotions depending theme dance dance art art blended acrobatic performances amazing performance awe inspiring inspiring reminds bealtes johnNAc                                                                                                                "
29,"Cirque du Soleil - Beatles Love","classic beatle beatle songs boyfriend doesn throughly enjoyed pretty nice nice seats seats spent                                                                                                                   "
30,"Cirque du Soleil - Beatles Love","performances nonetheless quidam luzia luzia totem special effects crazy stunts                                                                                                                     "
31,"Cirque du Soleil - Beatles Love","stage set theatrics highly highly recommend personal favorite                                                                                                                      "
32,"Cirque du Soleil - Beatles Love","quick trip bought tickets strawberry fields cushion lift purely beautiful stage design acrobatic performers performers wow teary eyed beautiful memory                                                                                                                "
33,"Cirque du Soleil - Beatles Love","talent highly highly recommend                                                                                                                        "
34,"Cirque du Soleil - Beatles Love","psychedelic vibe                                                                                                                         "
35,"Cirque du Soleil - Beatles Love","acrobatic performances extraordinary artists balance dance perform crazy crazy human human feats front stage performance played complete visual colorful props flying performances artistic costumes costumes theatrical theatrical fog strobe effects music background magical technical technical tour rigging automation automation lighting lighting projections projections sound free admission admission glad merchandise displayed neon backdrop photo ops mirage review                                                                                              "
36,"Cirque du Soleil - Beatles Love","acrobatics expected theatrics edged enormous soft soft silky silky sheet entire audience playing epic epic moment john paul paul george actual voices consistently intermingled bad seat                                                                                                             "
37,"Cirque du Soleil - Beatles Love","amazing music music beautiful beautiful choreography cool interactive interactive stuff                                                                                                                     "
38,"Cirque du Soleil - Beatles Love","discounted ticket ticket kiosks mirage casino wonderful light light exhibit london mule mule aka moscow mule NANANA hour upper section center stage awe set set pieces dancing visuals music combined amazing experience sensitive ears                                                                                                         "
40,"Cirque du Soleil - Beatles Love","original music performers putting las vegas vegas don music dancing                                                                                                                     "
